,country,freq_count
0,France,387
1,India,4786
2,Germany,531
3,Australia,269
7,United States of America,3085
9,Netherlands,161
20,Ireland,89
23,Russia,626
24,Greece,108
28,Ukraine,191
29,Pakistan,210
30,Japan,673
32,Other,1054
34,Brazil,728
36,South Korea,182
43,Belarus,68
47,Nigeria,395
48,United Kingdom of Great Britain and Northern Ireland,482
49,Sweden,92
60,Mexico,195
77,Canada,450
80,Portugal,114
89,Poland,212
90,Indonesia,167
92,Italy,271
98,Czech Republic,58
105,Spain,399
111,Morocco,123
125,Chile,91
132,Hong Kong (S.A.R.),64
138,South Africa,120
139,Hungary,56
143,Argentina,123
144,Turkey,288
150,Singapore,156
159,Israel,104
180,Taiwan,301
185,Egypt,122
196,Bangladesh,136
220,Colombia,168
241,Norway,51
260,Thailand,67
265,China,574
281,Switzerland,97
306,Viet Nam,128
314,Denmark,55
410,Tunisia,68
440,Republic of Korea,73
488,New Zealand,51
509,"Iran, Islamic Republic of...",96
572,Peru,74
580,Kenya,114
705,Romania,58
717,Malaysia,80
844,Belgium,70
859,Algeria,58
907,Austria,53
1368,Philippines,65
2948,Saudi Arabia,50
