age_group,gender,country,education,job_title,size_of_company,employer_uses_ml,current_salary,primary_tool_used,years_in_ml,viz_frameworks,ml_frameworks
22-24,Male,France,Masters,Software Engineer,"1000-9,999 employees",I do not know,"30,000-39,999",basic,1-2 years, Matplotlib ,
40-44,Male,India,Coursework,Software Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","5,000-7,499",advance,I have never written code,,
55-59,Female,Germany,Coursework,Other,,,,intermediate,,,
40-44,Male,Australia,Masters,Other,"> 10,000 employees",I do not know,"250,000-299,999",advance,1-2 years," Ggplot / ggplot2 , Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest"
22-24,Male,India,Bachelors,Other,0-49 employees,No (we do not use ML methods),"4,000-4,999",advance,< 1 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn , RandomForest, Xgboost , LightGBM "
50-54,Male,France,Masters,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","60,000-69,999",advance,20+ years, Ggplot / ggplot2 ,"  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , Caret "
22-24,Male,India,Masters,Data Scientist,50-249 employees,We are exploring ML methods (and may one day put a model into production),"10,000-14,999",advance,3-5 years," Matplotlib , Plotly / Plotly Express , Bokeh , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , PyTorch "
22-24,Female,United States of America,Bachelors,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","80,000-89,999",advance,3-5 years," Matplotlib , Plotly / Plotly Express ","  Scikit-learn ,  TensorFlow , Keras , Spark MLib "
22-24,Male,United States of America,Bachelors,Student,,,,advance,3-5 years," Matplotlib , Seaborn ","  Scikit-learn , Xgboost , PyTorch , LightGBM "
55-59,Male,Netherlands,Masters,Other,0-49 employees,We are exploring ML methods (and may one day put a model into production),$0-999,advance,5-10 years," Matplotlib , D3.js , Seaborn ","  Scikit-learn , PyTorch "
18-21,Male,India,Coursework,Student,,,,basic,< 1 years," Matplotlib , Seaborn ",
