,country,freq_count,code
1,France,387,FRA
2,India,4786,IND
3,Germany,531,DEU
4,Australia,269,AUS
5,United States of America,3085,USA
6,Netherlands,161,NLD
7,Ireland,89,IRL
8,Russia,626,RUS
9,Greece,108,GRC
10,Ukraine,191,UKR
11,Pakistan,210,PAK
12,Japan,673,JPN
13,Other,1054,OTH
14,Brazil,728,BRA
15,South Korea,182,KOR
16,Belarus,68,BLR
17,Nigeria,395,NER
18,United Kingdom of Great Britain and Northern Ireland,482,GBR
19,Sweden,92,SWE
20,Mexico,195,MEX
21,Canada,450,CAN
22,Portugal,114,PRT
23,Poland,212,POL
24,Indonesia,167,IDN
25,Italy,271,ITA
26,Czech Republic,58,CZE
27,Spain,399,ESP
28,Morocco,123,MAR
29,Chile,91,CHL
30,Hong Kong (S.A.R.),64,HKG
31,South Africa,120,ZAF
32,Hungary,56,HUN
33,Argentina,123,ARG
34,Turkey,288,TUR
35,Singapore,156,SGP
36,Israel,104,ISR
37,Taiwan,301,TWN
38,Egypt,122,EGY
39,Bangladesh,136,BGD
40,Colombia,168,COL
41,Norway,51,NOR
42,Thailand,67,THA
43,China,574,CHN
44,Switzerland,97,CHE
45,Viet Nam,128,VNM
46,Denmark,55,DNK
47,Tunisia,68,TUN
48,Republic of Korea,73,KOR
49,New Zealand,51,NZL
50,"Iran, Islamic Republic of...",96,IRN
51,Peru,74,PER
52,Kenya,114,KEN
53,Romania,58,ROU
54,Malaysia,80,MYS
55,Belgium,70,BEL
56,Algeria,58,DZA
57,Austria,53,AUT
58,Philippines,65,PHL
59,Saudi Arabia,50,SAU
